title,company,location,date_posted,job_link,description,seniority_level,employment_type,job_function,industries,applicants,company_url,time_posted,company_size,founded,type,industry,headquarters
"Intern, Community Relations",Ottawa Sports and Entertainment Group (OSEG),"Ottawa, Ontario, Canada",1 day ago,https://ca.linkedin.com/jobs/view/intern-community-relations-at-ottawa-sports-and-entertainment-group-oseg-4034393849?position=1&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=idVnnabCLUPuB893o%2FHw1Q%3D%3D,"          The Community Relations Department at OSEG is seeking a motivated and passionate intern to support our community relations programming. This individual will have the opportunity to support in all areas of community programming, including; development, implementation, event planning as well as mascot community appearances. By the end of the internship, students will be able to understand how a sports and entertainment organization operates through its community.Students who wish to participate in an internship opportunity with Ottawa Sports & Entertainment Group must be a part of an accredited post-secondary program where fulfillment of internship credit is required for graduation.This internship is a full-time position for four (4) months from September 2024 to December 2024. Candidates must be enrolled in a post secondary education program offering class credits for the internship placement. This is an unpaid internship.What You’ll DoCoordinating In-Kind donation requests from donors; Scheduling player and mascot community appearances;Organizing signed merchandise with REDBLACKS and 67’s;Supporting the coordination and ideation of fan engagement events;Facilitating feedback mechanism with community partners to understand our reach;Assist with the planning and execution of community events and programs;Support outreach to prospective community partners;Assist community relations staff with additional projects as required.What’s NeededMotivated, self-starter, team player;Excellent inter-personal skills – skillful at building and fostering relationships;Strong written communication skills;Strong organizational and time management skills;High level of proficiency in Word, PowerPoint, Excel, etc.;Ability to multi-task, work under pressure, and work in a high energy environment;Bilingualism (English and French) is an asset. What’s in it for you? Aside from the ability to make a meaningful and powerful impact on the sports and entertainment industry in Ottawa, an internship at TD Place will provide you with a dynamic team environment and the ability to continuously learn and grow.Located at Lansdowne Park, the TD Place is part of the Ottawa Sports and Entertainment Group (OSEG) of companies, and is the largest and most varied sports and entertainment complex in the city. We operate the Ottawa REDBLACKs and Ottawa 67’s, and host live entertainment events and other professional sports tenants including the Ottawa Blackjacks, Atlético Ottawa, and the new Professional Women’s Hockey League. OSEG and its related Foundation were founded on the vision of its partners - a vision to create year-round world-class guest experiences and give back to the Ottawa community.TD Place is an advocate for equity, diversity, and inclusion and invites and encourages all candidates to apply for this role, including women, Indigenous peoples, members of racialized communities, persons with disabilities and persons of minority sexual orientations and gender identities. Additionally, we are happy to accommodate any individual needs in keeping with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. If you require accommodation to participate in the recruitment process, please contact us to make your needs known in advance.Please note this role will require interacting with the public, including in crowded spaces. TD Place, as one of Canada's Safest Employers, is committed to providing a safe and enjoyable experience for all employees and guests. We encourage that you receive a full dose of the COVID-19 vaccination (subject to applicable exceptions).We acknowledge the time and effort that is required to apply and thank all applicants for their interest. Depending on volume, we may only be able to respond to those who demonstrate within their application that they meet the requirements of the role.Interested? Please visit: https://www.tdplace.ca/careers/        ",Internship,Internship,Other,Spectator Sports,Be among the first 25 applicants,https://ca.linkedin.com/company/ottawa-sports-and-entertainment-group-oseg-?trk=public_jobs_topcard-org-name,12:00:00 AM,51-200 employees,,Partnership,Spectator Sports,"Ottawa, Ontario"
"Intern, Corporate Partnerships",Ottawa Sports and Entertainment Group (OSEG),"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/intern-corporate-partnerships-at-ottawa-sports-and-entertainment-group-oseg-4028831653?position=2&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=bkF8NAITe2Ghrb7wUmvDyw%3D%3D,"          The Intern, Corporate Partnerships, supports the day-to-day operations of one of OSEG’s main revenue generating functions. This individual will be relied on to provide support in all areas of the business development process, including research, account fulfillment assistance, asset inventory, development of high-quality sales collateral and presentation materials, and hospitality program execution.Students who wish to participate in an internship opportunity with Ottawa Sports & Entertainment Group must be a part of an accredited post-secondary program where fulfillment of internship credit is required for graduation.This internship is a full-time position for four (4) months from September 2024 to December 2024. Candidates must be enrolled in a post secondary education program offering class credits for the internship placement; this is an unpaid position. What You’ll DoLead the management and development of innovative sales and partner fulfillment ideas, processes and campaigns that are indicative of a leading Canadian sports organizationProvide research support for new prospective partners, including category analysis, key contact identification, and obtaining relevant information (i.e.: company values, existing partnership relationships) on prospective partners to support the solicitation process)Assist the Corporate Partnerships team with various Ottawa REDBLACKS and Ottawa 67’s partner fulfillment initiatives, such as, inventory tracking, asset submission, photo cataloging and partner guide creationAssist in the management of the TD Place premium seating Inventory (suites, loges, and Upper Log Cabin) and fulfillment of partner needsProvide support in the planning and executing of partner events both at TD Place and virtuallyWork with internal stakeholders (Marketing/Events/Digital/Analytics/ Communications and Ticketing) to support the development and execution of partnership programsProvide logistical and operational support in the lead-up, duration and conclusion of Ottawa REDBLACKS Home GamesWhat’s NeededStrong understanding of core marketing concepts, activations, valuations, and program customization Excellent inter-personal skills – skillful at building and fostering relationshipsStrong written communication skillsStrong organizational and time management skillsHigh level of proficiency in Word, PowerPoint, Excel, etc.Ability to multi-task, work under pressure, and work in a high energy environmentAmbition, strong work ethic, and open to new ideasWhat’s In It For YouAside from the ability to make a meaningful and powerful impact on the sports and entertainment industry in Ottawa, an internship at TD Place will provide you with a dynamic team environment and the ability to continuously learn and grow.Located at Lansdowne Park, the TD Place is part of the Ottawa Sports and Entertainment Group (OSEG) of companies, and is the largest and most varied sports and entertainment complex in the city. We operate the Ottawa REDBLACKs and Ottawa 67’s, and host live entertainment events and other professional sports tenants including the Ottawa Blackjacks, Atlético Ottawa, and the new Professional Women’s Hockey League. OSEG and its related Foundation were founded on the vision of its partners - a vision to create year-round world-class guest experiences and give back to the Ottawa community.TD Place is an advocate for equity, diversity, and inclusion and invites and encourages all candidates to apply for this role, including women, Indigenous peoples, members of racialized communities, persons with disabilities and persons of minority sexual orientations and gender identities. Additionally, we are happy to accommodate any individual needs in keeping with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act. If you require accommodation to participate in the recruitment process, please contact us to make your needs known in advance.Please note this role will require interacting with the public, including in crowded spaces. TD Place, as one of Canada's Safest Employers, is committed to providing a safe and enjoyable experience for all employees and guests. We encourage that you receive a full dose of the COVID-19 vaccination (subject to applicable exceptions).We acknowledge the time and effort that is required to apply and thank all applicants for their interest. Depending on volume, we may only be able to respond to those who demonstrate within their application that they meet the requirements of the role.Please visit: https://www.tdplace.ca/careers/ for more information.        ",Internship,Internship,Education and Training,Spectator Sports,Be among the first 25 applicants,https://ca.linkedin.com/company/ottawa-sports-and-entertainment-group-oseg-?trk=public_jobs_topcard-org-name,12:00:00 AM,51-200 employees,,Partnership,Spectator Sports,"Ottawa, Ontario"
AI/ML Development Co-op/Intern,Nokia,"Kanata, Ontario, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/ai-ml-development-co-op-intern-at-nokia-4004494523?position=4&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=5JTM8FRIRkc%2FQYwcs4gPeg%3D%3D,"Job DescriptionPosition: AI/ML Development Co-op/InternNumber of Position(s): 4Duration: 4- 16 MonthsDate: January 2025Location: Virtual-FlexibleEducation RecommendationsCurrently a candidate for a bachelor’s degree or diploma in Computer Science, Computer Systems Engineering, etc., or a related field with an accredited school in Canada.How You Will Contribute And What You Will Learn As part of our team, you will:Play a significant role in developing and enhancing our transformation team. This role combines technical expertise, creativity, and collaboration.Be part of an Agile software development team.Analyze and estimate new tasks while efficiently communicating progress with your tasks.Work closely with technical experts to achieve the committed objectives.Play an active role in creating/monitoring ML pipelines and tweak them as needed. Key Skills And Experienceyou have:Fluent English speaking, reading & writing skillsCan work independently and as a team memberExcellent problem-solving and debugging skillsExperience with Python or any other scripting languageSound knowledge of Machine Learning techniques and algorithms It would be nice if you also had:Have basic knowledge of commonly used source control mechanisms, like git.Basic knowledge of data management tools and databasesA self-learner and open-mindedWilling to take on new and interesting challenges with a can-do attitudeAre motivated, pro-active, innovative, and take initiativeEnthusiastic about impacting the world for good through technology About Us Come create the technology that helps the world act togetherNokia is committed to innovation and technology leadership across mobile, fixed and cloud networks. Your career here will have a positive impact on people’s lives and will help us build the capabilities needed for a more productive, sustainable, and inclusive world.We challenge ourselves to create an inclusive way of working where we are open to new ideas, empowered to take risks and fearless to bring our authentic selves to workWhat we offerNokia offers continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.Nokia is committed to inclusion and is an equal opportunity employerNokia has received the following recognitions for its commitment to inclusion & equality: One of the World’s Most Ethical Companies by Ethisphere  Gender-Equality Index by Bloomberg  Workplace Pride Global Benchmark At Nokia, we act inclusively and respect the uniqueness of people. Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law. We are committed to a culture of inclusion built upon our core value of respect.Join us and be part of a company where you will feel included and empowered to succeed.Additional InformationUS/Canada Nokia Offers a comprehensive benefits package that includes but is not limited to: Corporate Retirement Savings Plan  Health and dental benefits  Short-term disability, and long-term disability  Life insurance, and AD&D – Company paid 2x base pay  Optional or Supplemental life and AD&D insurance (Employee/Spouse/Child)  Paid time off for holidays and Vacation  Employee Stock Purchase Plan  Tuition Assistance Plan  Adoption assistance  Employee Assistance Program/Work Life Resource Program The above benefits exclude students. Disclaimer for US/CanadaNokia Maintains broad annual base salary ranges for its roles in order to account for variations in knowledge, skills, experience and market conditions, and with consideration to internal peer equity.(Check the salary ranges in the job info section for this role)All North America job posts will post for a minimum of 7 calendar days and up to 180 days or until candidate/s identified.About The TeamThe pandemic has highlighted how important telecoms networks are to society. Nokia’s Network Infrastructure group is at the heart of a revolution to bring more and faster network capacity to people worldwide through our ambition, innovation, and technical expertise.        ",Not Applicable,Full-time,Education and Training,IT Services and IT Consulting and Telecommunications,Over 200 applicants,https://fi.linkedin.com/company/nokia?trk=public_jobs_topcard-org-name,11:57:02 AM,"10,001+ employees",1865,Public Company,Telecommunications,"Espoo, Southern Finland"
Crypto Business Development Intern (Ottawa-Remote),Token Metrics,"Ottawa, Ontario, Canada",2 months ago,https://ca.linkedin.com/jobs/view/crypto-business-development-intern-ottawa-remote-at-token-metrics-3972598163?position=5&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=0wHBdYAN1v9Vs5MMUNuWew%3D%3D,"          Due to exceptional growth, we are hiring a Business Development Intern. To excel in this role you should be an active listener, have a compelling sales personality, a hunger to chase and close new business from cold calls and inbound warm leads, and a base understanding of cryptocurrency. Additionally, you will be agile and a quick learner. There will be presentations, investor meetings, marketing initiatives, and many other business tasks. The duration of the Token Metrics internship program is 3 months. It is an evaluative Commission-based internship with the possibility of return offers, depending on the company's needs. ResponsibilitiesContacting potential clients to establish rapport and arrange meetingsPlanning new marketing initiativesResearching organizations and individuals to find new opportunitiesAttracting new customersHelping with presentationsFinding and developing new markets and improving salesRequirementsPursuing degree in business, marketing or related fieldExperience in sales, marketing or related fieldStrong communication skillsAbility to manage complex projects and multi-taskExcellent organizational skillsAbility to flourish with minimal guidance, be proactive, and handle uncertaintyComfortable using a computer for various tasksAbout Token Metrics Token Metrics helps crypto investors build profitable portfolios using artificial intelligence based crypto indices, rankings, and price predictions. Token Metrics has a diverse set of customers, from retail investors and traders to crypto fund managers, in more than 50 countries.        ",Not Applicable,Internship,Business Development and Sales,Internet Publishing,89 applicants,https://www.linkedin.com/company/tokenmetrics?trk=public_jobs_topcard-org-name,9:36:36 PM,11-50 employees,2018,Privately Held,Internet Publishing,"Austin, Texas"
Master's Internship,Bank of Canada,"Ottawa, Ontario, Canada",1 day ago,https://ca.linkedin.com/jobs/view/master-s-internship-at-bank-of-canada-4016627888?position=6&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=n30ndGPyijy%2BXegKxkxqEw%3D%3D,"Take a central roleThe Bank of Canada has a vision to be “a leading central bank—dynamic, engaged and trusted—committed to a better Canada.” No other employer in the country offers you the unique opportunity to work at the very centre of Canada’s economy, in a diverse and inclusive organization with significant impact on the economic and financial well-being of all Canadians. We embrace three core values that define who we are and how we work together; think ahead, include everyone, and inspire confidence.Find out more about the next steps in our Recruitment process .About The PositionAs an intern, you would work under the direction of the Director responsible for the particular division in which you are located. Key responsibilities for all the positions include the following: conducting high-quality analysis and research on subjects related to the responsibility of the division  collecting, organizing and manipulating data from internal and external data sources  contribute to the analysis and/or operations conducted by the team to fulfill the mandate/responsibilities of the hiring departments. Your Knowledge And Skills communicate information and ideas adapted to the target audience, using clear and compelling written and oral communication skills  bring a range of considerations to issues and to conduct careful analysis  integrate specialized and complex areas of expertise, e.g., financial market analysis, economic analysis and regulatory issues analysis  work collaboratively and effectively with others within the team, across teams, with other departments and with contacts outside of the Bank, as well as independently  program in common mathematical or statistical languages  Assets  completion of, or enrolment in, Chartered Financial Analyst (CFA), Financial Risk Manager (FRM) or similar program  strong background in quantitative methods  strong background in trading systems  knowledge of the Canadian financial system Your Education And ExperienceFor your candidacy to be considered, you must be currently enrolled in a master’s degree program in finance or economics Applications instructions All applicants must submit a completed online application that includes the following documentations to support their candidacy: a current curriculum vitae  cover letter  official or unofficial transcripts of your undergraduate academic record. Relevant courses you have attended must be clearly identified by their course titles Language requirementEnglish or French essentialWhat You Can Expect From UsThis is a great opportunity to join a leading organization and be part of a high-performing team. Salary is $29.17 (hourly) (job grade Student C) Additional Information Priority will be given to Canadian citizens and permanent residents  Security level required: Be eligible to obtain Reliability or Secret  There will be no relocation assistance provided Remote Work / Hybrid Work ModelThe Bank offers work arrangements that provide employees with flexibility, enable high-performing teams, and support an excellent workplace culture. Most employees can telework from home for a substantial part of each month as part of the Bank`s hybrid work model, and they are expected on site at the Bank location a minimum of eight days per month to help build connections between colleagues. You must live in Canada, and within reasonable commuting distance of the office.We wish to thank all applicants for their interest and effort in applying for this position. Only candidates selected for interviews will be contacted.",Internship,Internship,Other,Banking,103 applicants,https://ca.linkedin.com/company/bank-of-canada?trk=public_jobs_topcard-org-name,9:33:01 AM,"1,001-5,000 employees",1935,Government Agency,Banking,"Ottawa, Ontario"
Sales & Recruiting Internship,Insight Global,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/sales-recruiting-internship-at-insight-global-4020828819?position=7&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=%2B0LJaI1lviZOyKhEE6Fu4w%3D%3D,"WHO WE AREWe are a multi-billion-dollar staffing firm providing dynamic hiring solutions for clients in the Technology, Business, Healthcare, and Engineering fields. Our purpose is to grow our people personally, professionally, and financially so we can be the light to the world around us. We live out that purpose as we care for and place over 50,000 candidates annually for clients in the US, Canada, Europe, India, and Mexico.  ABOUT THE POSITIONNo coffee runs here. Interns step into the role of our newest full-time hires for eight weeks, receiving the same training and held to the same standards. You will learn the ins-and-outs of the $218 billion staffing industry by attending a two-day training at Insight Global University, daily syncs with an Account Manager mentor, following an Intern Training Guide, and applying your skills in the real-world.  Interns will spend four days a week working as a Recruiter - our sales adjacent role - learning our core business by sourcing, interviewing, negotiating, and hiring candidates for our clients’ open positions. You will also spend one day each week with an Account Manager, watching as they sell to and build relationships with clients through meetings and outings. You will learn value-based sales, how to research and cold-call prospective clients, and how to close business. Eventually, you will be able to run a client meeting by applying your recruiting foundation and sales training. DETAILSInternships are paid & available in all offices across the US & Canada.  ​First Session: June 2nd - July 25th 2025.Second Session: July 14th - September 5th 2025.36hrs per week: Monday-Thursday 8am-5pm, Friday 8am-12pm.​Interns must be able to work in-office Tuesday-Thursday. RESPONSIBILITIES & EXPECTATIONSDaily: Meeting with our sales team to discuss client positions you will recruit on.Daily: Sourcing candidates via job sites and our proprietary database.Daily: 40-60 calls daily leading to 30 candidate phone interviews a week.Daily: 1on1s with Account Manager mentors to learn, role-play, and ask questions.Weekly: cold calling clients, setting meetings, and joining the AM on those meetings. ​Monthly: 2 monthly presentations to discuss your development & feedback. Own your success & ask for what you need: more help, responsibility, challenges, etc.Show us your ability to learn, implement feedback, and have a growth mindset. PAUSE & CONSIDERInsight Global only promotes from within, which starts with our Interns, as many will receive full-time offers. Recruiting is part of the learning process, but we are looking for our future Account Managers. If you are not driven by the thrill of fast-paced, in-person sales then this internship is not the right fit. We are seeking people who love building in-person relationships. People who are urgent, aggressive, and direct. People who relentlessly compete and find a way in the face of all obstacles. If that sounds like you, we are excited to meet you! COMPENSATIONInsight Global offers a competitive hourly rate during the internship ranging from $16/hr - $28.80/hr., dependent on office location. Interns are expected to work 36 hours weekly during the 8-week internship and will be paid for actual hours worked, eligible for overtime. If offered a full-time role after graduation salaries range from $37,000- $66,560 annually, dependent on office locations with $5,000 in LTIPs (Long Term Incentive Plan). Upon promotion, Account Managers receive a base salary increase, monthly car and cell allowance, as well as uncapped commission paid weekly.  The average full-time employee in the company makes:  Year 2:  $73,000-$88,000 Year 3: $121,000-$145,000  Year 4: $135,000-$194,000  Account Managers and Professional Recruiters have the opportunity to win annual sales contests that include an all-expenses paid trip to the Bahamas, LTIPs, and a cash bonus starting at $7,500- $10,000.    For full-time employees, benefit offerings include medical, dental, vision, disability insurance, company-paid life insurance, 401k retirement account access with employer matching, and paid vacation and sick time.",Internship,Internship,Sales and Business Development,Staffing and Recruiting,Be among the first 25 applicants,https://www.linkedin.com/company/insight-global?trk=public_jobs_topcard-org-name,6:51:00 PM,"1,001-5,000 employees",2001,Privately Held,Staffing and Recruiting,"Atlanta, Georgia"
Intern,Synopsys Inc,"Nepean, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/intern-at-synopsys-inc-4027571242?position=8&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=Fz6GtbDofsaTFUXacwWWEQ%3D%3D,"Internship Overview:The Internship position “ASIC Digital Design Engineer” with 16 month duration requires working on various aspects of DDR Firmware verification flow. The candidate will exercise skills in a variety of tasks including but not limited to firmware simulation, regression monitoring and scripting, bug analysis, testbench feature coding, functional coverage, protocol checkers etc. Familiarity with DDR protocols is a plus.Responsibilities and Duties:Participate in PHY firmware verification feature implementation: Feature implementation entails understanding the requirements, implementing it in the testbench, simulation testing, followed by a confirmation with waveform analysis. Additionally implement functional coverpoints and checkers for continued verification.What you will learn:The following are examples of tasks that you would be doing during this internship.System verilog coding of various testbench componentsAssisting with verification of firmware featuresDebugging simulation failuresWriting Perl/Python scripts to enhance workflowSkill requirements and qualification:Knowledge of programming languages System verilog, verilog and IC design flow.Knowledge of scripting with Python or Perl, Bash, makefiles is a plus.Understanding of digital logic and verification flow.Problem-solving and analytical skills;Ability to work in a team environment;High motivation for learning and exploring new technologies;Good communication and organizational skills;Our Silicon IP business is all about integrating more capabilities into an SoC-faster. We offer the world's broadest portfolio of silicon IP-predesigned blocks of logic, memory, interfaces, analog, security, and embedded processors. All to help customers integrate more capabilities. Meet unique performance, power, and size requirements of their target applications. And get differentiated products to market quickly with reduced risk.At Synopsys, we're at the heart of the innovations that change the way we work and play. Self-driving cars. Artificial Intelligence. The cloud. 5G. The Internet of Things. These breakthroughs are ushering in the Era of Smart Everything. And we're powering it all with the world's most advanced technologies for chip design and software security. If you share our passion for innovation, we want to meet you.        ",Mid-Senior level,Full-time,Information Technology and Engineering,"Semiconductor Manufacturing, Software Development, and Computer Hardware Manufacturing",59 applicants,https://www.linkedin.com/company/synopsys?trk=public_jobs_topcard-org-name,2:37:25 PM,"10,001+ employees",1986,Public Company,Software Development,"Sunnyvale, California"
Wealth Management - Tax Administrator Intern/Co-op Winter 2025 (Ottawa),Scotiabank,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/wealth-management-tax-administrator-intern-co-op-winter-2025-ottawa-at-scotiabank-4019455979?position=10&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=Ubimw2xUKteJsjHK%2Bx0opw%3D%3D,"          Requisition ID: 206605Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.Term: Jan – May 2025Application Deadline: 10/18/2024There's no better way to find your dream job than to do a co-op or internship with Scotiabank! During your work term, you’ll have the opportunity to be part of a winning team, build your network, and discover what you love – all while getting paid to do it! There’s a place for every type of student at Scotiabank and all that we ask for is that you have passion and strong AOO (Attitude, Ownership and Opportunity).As a Tax Administrator you will Contributes to the overall success of a Scotiatrust Taxation Services unit in Canada ensuring specific individual goals, plans, initiatives are executed / delivered in support of the team’s business strategies and objectives. Ensures all activities conducted are in compliance with governing regulations, internal policies and procedures.Is this role right for you? In this role, you will… Prepare income tax returns by proactively gathering and analyzing all relevant supporting documentation, such as income statements, transactions, tax slips, capital gains & losses statements, fees deductions and relevant credits.Discuss tax rules and tax elections with the Tax Officer, Associate Tax Officer and/or Manager, Taxation, and assess client tax situations, perform detailed analysis, undertake research, and provide and suggestion around specific course of action in less complex situation. Champion a customer focused culture to deepen client relationships and leverage broader Bank relationships, systems and knowledge. Understand how the Bank’s risk appetite and risk culture should be considered in day-today activities and decisions.Actively pursue effective and efficient operations of his/her respective areas, while ensuring thorough knowledge of, and strict adherence to, the Bank’s Global Sales Practices, ensuring the adequacy, adherence to and effectiveness of day-to-day business controls to meet obligations with respect to operational risk, regulatory compliance risk, AML/ATF risk and conduct risk, including but not limited to responsibilities under the Operational Risk Management Framework, Regulatory Compliance Risk Management Framework, AML/ATF Global Handbook and the Guidelines for Business Conduct. RequirementsDo you have the skills and requirements that will enable you to succeed in this role? – We’d love to work with you if:You are currently enrolled in post-secondary education.You have strong computer skills, including knowledge of tax preparation programs and Microsoft applications (especially PowerPoint, Excel and Word), salesforce and the Broadridge Trust System. You are detail oriented.You have customer service focus.You have strong organizational skills.You take initiative, work well with minimal direction and multi-task.You have strong writing skills and exceptional attention to detail.How do I apply?AboutFor students applying to our internship/co-op or new graduate programs, we do not require resumes! We believe in evaluating you through relationships over resumes and are focused on learning about who you are and what you’re interested in to uncover your true potential. Instead, we ask that as part of your application you complete the below:Complete your PLUM Profile here and save as a screenshot.Complete short one-way video interview here Apply to the role and when the application asks for your resume, instead upload the screenshot of your PLUM ProfileIn order to be considered for student opportunities at Scotiabank and/or Tangerine, you must complete all steps above. **Location(s): Canada : Ontario : OttawaScotiabank is a leading bank in the Americas. Guided by our purpose: ""for every future"", we help our customers, their families and their communities achieve success through a broad range of advice, products and services, including personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets.At Scotiabank, we value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance, please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted.        ",Entry level,Internship,Finance and Sales,Banking,29 applicants,https://ca.linkedin.com/company/scotiabank?trk=public_jobs_topcard-org-name,9:58:00 PM,"10,001+ employees",,Public Company,Banking,"Toronto, Ontario"
Human Resources Student,PCL Construction,"Ottawa, Ontario, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/human-resources-student-at-pcl-construction-4009791542?position=11&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=9aZvbS3%2Bo68s7eNhwGbjvA%3D%3D,"The future you want is within reach.At PCL, we build the places where life happens and find camaraderie in the process. We're a community of builders committed to building better communities. That's why we're always looking ahead, and not just to the next project or what's next in our industry.We're also looking at what's next for you and how we can help you build a career you're proud of. As a student at PCL, you will get the opportunity for challenging work assignments in a supportive work environment which promotes personal and professional growth.We are seeking a Human Resources Student for our Ottawa District, within our Canadian Buildings Division, that is available for 4 months from January 2025 to April 2025.Here's how a Human Resources Student for our Ottawa office contributes to our team:Responsibilities Assisting with professional development initiatives including coordinating internal training and assisting with course set-up. Assisting with the maintenance of the applicant tracking system, screening resumes, scheduling interviews, greeting candidates, and performing reference checks. Assisting with the preparation for new employee and new student orientations. Providing administrative support for the employee career management process. Assisting with the organization of Health & Wellness events and initiatives. Assisting with the implementation of various HR initiatives and projects. Updating and generating monthly reports. Helping with the management and organization of our College of Construction courseware database and library. Completing other duties and or projects as required.Qualifications Working towards a degree or diploma in a human resources management or related field. A real passion for people. Excellent interpersonal and communication skills (written and verbal). Ability to multi-task, prioritize and respond to changing demands. Ability to proactively anticipate needs and follow-up items for the team. Ability to maintain strict confidentiality. Knowledge of various computer programs such as Microsoft Office (Word, Excel, PowerPoint, Outlook). Previous experience with a learning management system (LMS) or applicant tracking system will be considered an asset.PCL is an innovative, employee-owned company comprised of people who find passion in their profession and take pride in doing great work every day. Our work powers the infrastructure and utilities that are essential to daily life and our projects are the scene of vacations, careers, education and healing. We are consistently ranked among the best companies to work for because we are committed to supporting and developing our teams.The PCL Companies celebrate diversity and are proud to be an equal opportunity employer. We are committed to creating equitable opportunities and an inclusive environment for all employees and applicants. We make employment-related decisions without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, age, disability or veteran status.Should you require an accommodation during the application process, please contact us at careers@pcl.com with the position and location you are interested in.Together, we can build success and a better future. Let’s get started!Employee Status: Internship Full-TimeCompany: PCL Constructors Canada Inc.Primary Location: Ottawa, OntarioJob: Human Resources StudentRequisition: 6456        ",Internship,Internship,Education and Training,Construction,40 applicants,https://ca.linkedin.com/company/pcl-construction?trk=public_jobs_topcard-org-name,5:58:42 PM,"1,001-5,000 employees",1906,Privately Held,Construction,"Edmonton, Alberta"
Accounting Student,PCL Construction,"Ottawa, Ontario, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/accounting-student-at-pcl-construction-4009789896?position=12&pageNum=0&refId=Tf1rEdHoGFi7CRE%2BnRXxSw%3D%3D&trackingId=Wr5Q8hVei6xqbwULyINd7A%3D%3D,"The future you want is within reach.At PCL, we build the places where life happens and find camaraderie in the process. We're a community of builders committed to building better communities. That's why we're always looking ahead, and not just to the next project or what's next in our industry.We're also looking at what's next for you and how we can help you build a career you're proud of. As a student at PCL, you will get the opportunity for challenging work assignments in a supportive work environment which promotes personal and professional growth.We are seeking an Accounting Student for our Ottawa District, within our Canadian Buildings Division, that is available for 4 months from January 2025 to April 2025.Here's how a Accounting Student for our Ottawa office contributes to our team:ResponsibilitiesCompletes project and overhead-related A/P and journal entries.Monitors and reconciles transfer of funds from corporate office.Prepares and processes bank deposits.Processes and enters cash receipts.Verifies vendor addresses and enters into the accounting system.Enters and processes revisions.QualificationsWorking towards a degree or diploma in accounting, finance or a related field.A deep understanding of accounting principles.Intermediate level skills with Microsoft programs, specifically Excel.Ability to multi-task and prioritize workload.Strong organizational skills with meticulous attention to detail.PCL is an innovative, employee-owned company comprised of people who find passion in their profession and take pride in doing great work every day. Our work powers the infrastructure and utilities that are essential to daily life and our projects are the scene of vacations, careers, education and healing. We are consistently ranked among the best companies to work for because we are committed to supporting and developing our teams.The PCL Companies celebrate diversity and are proud to be an equal opportunity employer. We are committed to creating equitable opportunities and an inclusive environment for all employees and applicants. We make employment-related decisions without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, age, disability or veteran status.Should you require an accommodation during the application process, please contact us at careers@pcl.com with the position and location you are interested in.Together, we can build success and a better future. Let’s get started!Employee Status: Internship Full-TimeCompany: PCL Constructors Canada Inc.Primary Location: Ottawa, OntarioJob: Accounting StudentRequisition: 6572        ",Internship,Internship,Education and Training,Construction,Be among the first 25 applicants,https://ca.linkedin.com/company/pcl-construction?trk=public_jobs_topcard-org-name,5:58:34 PM,"1,001-5,000 employees",1906,Privately Held,Construction,"Edmonton, Alberta"
